Si:1007 Mi:2259
Si:1008 Mi:1
Si:1009 Mi:1730
Si:1010 Mi:2219
Si:1011 Mi:1436
Si:1012 Mi:1842
Si:1013 Mi:1760
Si:1014 Mi:1695
Si:1015 Mi:3587
Si:1016 Mi:3627
Si:1017 Mi:3590
Si:1018 Mi:3617
Si:1019 Mi:3246
Si:1020 Mi:3177
Si:1021 Mi:587
Si:1022 Mi:3523
Si:1023 Mi:873
Si:1024 Mi:653
Si:1025 Mi:2246
Si:1026 Mi:2214
Si:1027 Mi:2206
Si:1028 Mi:2230
Si:1029 Mi:1657
Si:1030 Mi:3420
Si:1031 Mi:2223
Si:1032 Mi:3229
Si:1033 Mi:3185
Si:1034 Mi:3161
Si:1035 Mi:3142
Si:1036 Mi:3097
Si:1037 Mi:400
Si:1038 Mi:873
Si:1039 Mi:2221
Si:1040 Mi:653
Si:1041 Mi:2220
Si:1042 Mi:2259
Si:1043 Mi:2206
Si:1044 Mi:1418
Si:1045 Mi:1291
Si:1046 Mi:2146
Si:1047 Mi:2259
Si:1048 Mi:3590
Si:1049 Mi:3160
Si:1050 Mi:3094
Si:1051 Mi:3124
Si:1052 Mi:3017
Si:1053 Mi:711
Si:1054 Mi:1138
Si:1055 Mi:899
Si:1056 Mi:885
Si:1057 Mi:2212
Si:1058 Mi:1730
Si:1059 Mi:2255
Si:1060 Mi:1541
Si:1061 Mi:1011
Si:1062 Mi:625
Si:1063 Mi:606
Si:1064 Mi:3143
Si:1065 Mi:3160
Si:1066 Mi:3089
Si:1067 Mi:3101
Si:1068 Mi:3042
Si:1069 Mi:2963
Si:1070 Mi:1761
Si:1071 Mi:1261
Si:1072 Mi:1019
Si:1073 Mi:929
Si:1074 Mi:2255
Si:1075 Mi:488
Si:1076 Mi:3264
Si:1077 Mi:625
Si:1078 Mi:3168
Si:1079 Mi:3062
Si:1080 Mi:3029
Si:1081 Mi:3038
Si:1082 Mi:3002
Si:1083 Mi:2910
Si:1084 Mi:2838
Si:1085 Mi:568
Si:1086 Mi:1028
Si:1087 Mi:3606
Si:1088 Mi:914
Si:1089 Mi:2144
Si:1090 Mi:1716
Si:1091 Mi:2144
Si:1092 Mi:2144
Si:1093 Mi:3222
Si:1094 Mi:347
Si:1095 Mi:625
Si:1096 Mi:641
Si:1097 Mi:3083
Si:1098 Mi:3006
Si:1099 Mi:2897
Si:1100 Mi:2907
Si:1101 Mi:2863
Si:1102 Mi:2774
Si:1103 Mi:1693
Si:1104 Mi:568
Si:1105 Mi:568
Si:1106 Mi:2144
Si:1107 Mi:1716
Si:1108 Mi:2080
Si:1109 Mi:1716
Si:1110 Mi:1747
Si:1111 Mi:1716
Si:1112 Mi:3100
Si:1113 Mi:3096
Si:1114 Mi:3141
Si:1115 Mi:625
Si:1116 Mi:625
Si:1117 Mi:2890
Si:1118 Mi:2997
Si:1119 Mi:2896
Si:1120 Mi:2818
Si:1121 Mi:2775
Si:1122 Mi:2730
Si:1123 Mi:1758
Si:1124 Mi:1728
Si:1125 Mi:1759
Si:1126 Mi:1729
Si:1127 Mi:1716
Si:1128 Mi:1583
Si:1129 Mi:1716
Si:1130 Mi:1583
Si:1131 Mi:2192
Si:1132 Mi:3057
Si:1133 Mi:3097
Si:1134 Mi:3611
Si:1135 Mi:2978
Si:1136 Mi:2884
Si:1137 Mi:588
Si:1138 Mi:2864
Si:1139 Mi:2761
Si:1140 Mi:2771
Si:1141 Mi:2705
Si:1142 Mi:2684
Si:1143 Mi:2637
Si:1144 Mi:2094
Si:1145 Mi:1919
Si:1146 Mi:1787
Si:1147 Mi:1716
Si:1148 Mi:2080
Si:1149 Mi:2196
Si:1150 Mi:2144
Si:1151 Mi:2192
Si:1152 Mi:1799
Si:1153 Mi:1583
Si:1154 Mi:3031
Si:1155 Mi:3603
Si:1156 Mi:3611
Si:1157 Mi:2846
Si:1158 Mi:2741
Si:1159 Mi:2774
Si:1160 Mi:2650
Si:1161 Mi:2705
Si:1162 Mi:2673
Si:1163 Mi:2631
Si:1164 Mi:2093
Si:1165 Mi:1667
Si:1166 Mi:2096
Si:1167 Mi:2066
Si:1168 Mi:1716
Si:1169 Mi:2144
